APMEAAPPCP001;82599.02
APMEBAPPRH001;536018.99
APMEBAPPRH002;0.00
APMEBAPPRH003;0.00
APMEMMPPAP001;1202082.44
APMEMMPPAP002;206060.67
APMEMMPPAP003;2240955.76
APMEMMPPAP004;2578839.69
APMEMMPPAP005;4432791.04
APMEMMPPCD001;-22940.30
APMEMMPPCD002;145205.54
APMEMMPPCD003;40179.11
APMEMMPPCD004;-13618.03
APMEMMPPCD008;9977.57
APMEMMPPCD009;18202.05
APMEMMPPCD011;9060.99
APMEMMPPCD012;52488.44
APMEMMPPCD014;18153.89
APMEMMPPCD015;106320.06
APMEMMPPCD016;118081.12
APMEMMPPCD017;51361.13
APMEMMPPCD018;3329.77
APMEMMPPCD020;-5341.66
APMEMMPPCD021;40400.19
APMEMMPPCD023;3412.90
APMEMMPPCD024;7173.39
APMEMMPPCD026;31949.84
APMEMMPPCD027;1404767.77
APMEMMPPCD029;12873.39
APMEMMPPCD032;0.00
APMEMMPPCD033;71600.13
APMEMMPPCD040;16078.08
APMEMMPPCD042;16350.65
APMEMMPPCD044;39546.16
APMEMMPPCD045;55040.67
APMEMMPPCD046;5253.35
APMEMMPPCD048;116266.97
APMEMMPPCD050;39121.32
APMEMMPPCD051;81832.65
APMEMMPPCD052;37096.88
APMEMMPPCD053;0.00
APMEMMPPCD054;32895.72
APMEMMPPCD055;95040.42
APMEMMPPCD056;17555.15
APMEMMPPCD059;6479.20
APMEMMPPCD060;69367.94
APMEMMPPCD062;34700.61
APMEMMPPCD063;22021.34
APMEMMPPCD064;29876.93
APMEMMPPCD065;81.60
APMEMMPPCD066;49767.40
APMEMMPPCD068;57860.12
APMEMMPPCD069;31374.51
APMEMMPPCD071;6894.55
APMEMMPPCD072;63780.13
APMEMMPPCD075;14427.01
APMEMMPPCD076;241273.38
APMEMMPPCD079;6699.46
APMEMMPPCD080;1428.13
APMEMMPPCD081;-961.50
APMEMMPPCD087;35923.10
APMEMMPPCD088;84249.39
APMEMMPPCD089;137306.18
APMEMMPPCI001;132876.76
APMEMMPPJH002;0.00
APMEMMPPJH012;0.00
APMEMMPPJR001;228135.38
APMEMMPPJR002;0.00
APMEMMPPRO001;-27319.31
APMEMMPPRO002;0.00
APMEMMPPRO003;0.00
APMEMMPPRO004;0.00
APMEMMPPRO005;0.00
APMEMMPPWL001;68073.09
APMETOPPCD002;248609.27
APMETOPPOR001;329649.23
APMYGIAAYI001;485624.18
APMYGIAAYI003;0.00
APPMMMPPLP001;-63658.03
APTALTPPCD002;-4471.31
APTAMMPPEI002;111711.06
APTAMMPPEI003;62932.24
APVAMMPPAM001;2.39
APVAMMPPAM002;0.00
APVAMMPPAM003;0.00
APVAMMPPAM004;0.00
APVAMMPPAM005;0.00
APVAMMPPAP001;3509756.97
APVAMMPPAP002;1961239.50
APVAMMPPAP003;2126371.87
APVAMMPPAP004;1170213.46
APVAMMPPAP005;756536.42
APVAMMPPCD003;63881.56
APVAMMPPCD004;4591.40
APVAMMPPCD007;116091.39
APVAMMPPCD008;334174.59
APVAMMPPCD010;330432.39
APVAMMPPCD011;40079.30
APVAMMPPCD012;245252.89
APVAMMPPCD013;3150.00
APVAMMPPCD016;-35.58
APVAMMPPCD019;39120.84
APVAMMPPCD023;73878.00
APVAMMPPCD024;438.15
APVAMMPPCD031;56320.61
